page_id,name,urlslug,id,align,eye,hair,sex,gsm,alive,appearances,first_appearance,year,days_since_first_appearance
500685,Schoolmaster_Earth616,Schoolmaster_Earth616,Secret Identity,Bad Characters,,White Hair,Male Characters,,False,1,1944-08-01,1944,27133
493703,Senator_Doaks_Earth616,Senator_Doaks_Earth616,Secret Identity,Bad Characters,,White Hair,Male Characters,,False,1,1944-03-01,1944,27286
708907,Shalimar_Earth616,Shalimar_Earth616,Public Identity,Neutral Characters,,Bald,Male Characters,,False,1,1944-12-01,1944,27011
497679,Siegfried_Kunz_Earth616,Siegfried_Kunz_Earth616,Public Identity,Bad Characters,,Brown Hair,Male Characters,,False,1,1944-05-01,1944,27225
493295,Stefan_Halpern_Earth616,Stefan_Halpern_Earth616,Secret Identity,Bad Characters,,Bald,Male Characters,,False,1,1944-02-01,1944,27315
297891,Tehru_Earth616,Tehru_Earth616,,Bad Characters,,,Male Characters,,False,1,1944-09-01,1944,27102
500670,Tiger_Duncan_Earth616,Tiger_Duncan_Earth616,Public Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-08-01,1944,27133
502042,Tom_Evans_Earth616,Tom_Evans_Earth616,Secret Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-09-01,1944,27102
504828,Vanza_Earth616,Vanza_Earth616,Public Identity,Good Characters,,Black Hair,Female Characters,,False,1,1944-12-01,1944,27011
501036,Voice_of_Doom_Earth616,Voice_of_Doom_Earth616,Secret Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-09-01,1944,27102
493366,Von_Fleagle_Earth616,Von_Fleagle_Earth616,Public Identity,Bad Characters,,Bald,Male Characters,,False,1,1944-03-01,1944,27286
499765,Von_Rottz_Earth616,Von_Rottz_Earth616,Public Identity,Bad Characters,,Bald,Male Characters,,False,1,1944-06-01,1944,27194
499399,Von_Wolheim_Earth616,Von_Wolheim_Earth616,Public Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-06-01,1944,27194
493569,Wilbur_the_Great_Earth616,Wilbur_the_Great_Earth616,Secret Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-03-01,1944,27286
505445,Wilton_Wilkes_Earth616,Wilton_Wilkes_Earth616,No Dual Identity,Bad Characters,,Brown Hair,Male Characters,,False,1,1944-12-01,1944,27011
493576,Wisp_Earth616,Wisp_Earth616,Secret Identity,Bad Characters,,Blond Hair,Female Characters,,False,1,1944-03-01,1944,27286
501180,Wolf_Nazi_Earth616,Wolf_Nazi_Earth616,Secret Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-09-01,1944,27102
493707,Yellow_Fang_Earth616,Yellow_Fang_Earth616,Secret Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-03-01,1944,27286
709114,Allen_Rosnim_Earth616,Allen_Rosnim_Earth616,Public Identity,Bad Characters,,Brown Hair,Male Characters,,False,1,1945-12-01,1945,26646
754512,Alonzo_Gonzales_Earth616,Alonzo_Gonzales_Earth616,Public Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1945-03-01,1945,26921
508424,Beak_Robber_Earth616,Beak_Robber_Earth616,,Bad Characters,,Black Hair,Male Characters,,False,1,1945-06-01,1945,26829
506874,Benjamin_Loufitz_Earth616,Benjamin_Loufitz_Earth616,No Dual Identity,Bad Characters,,Brown Hair,Male Characters,,False,1,1945-03-01,1945,26921
516213,Big_Boy_Bates_Earth616,Big_Boy_Bates_Earth616,Secret Identity,Bad Characters,,Blond Hair,Male Characters,,False,1,1945-12-01,1945,26646
