title,site,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress,years_since_released
Counterpunch,http://www.imdb.com/title/tt2051850/,US,2013,0,Kenneth Castillo,1,Alvaro Orlando,Athlete,True,Hispanic (Latino),True,Male,Alvaro Orlando,5
Creation,http://www.imdb.com/title/tt0974014/,UK,2009,0.341,Jon Amiel,1,Charles Darwin,Academic,False,,False,Male,Paul Bettany,9
Cromwell,http://www.imdb.com/title/tt0065593/,UK,1970,0,Ken Hughes,1,Oliver Cromwell,Historical,True,White,False,Male,Richard Harris,48
Cross Creek,http://www.imdb.com/title/tt0085380/,US,1983,0.2,Martin Ritt,1,Marjorie Kinnan Rawlings,Author,False,,False,Female,Mary Steenburgen,35
Crutch,http://www.imdb.com/title/tt0422029/,US,2004,0,Rob Moretti,1,Rob Moretti,Actor,False,,False,Male,Eben Gordon,14
Cry Freedom,http://www.imdb.com/title/tt0092804/,UK,1987,5.9,Richard Attenborough,1,Steve Biko,Activist,True,African,True,Male,Denzel Washington,31
Custer of the West,http://www.imdb.com/title/tt0062844/,US,1967,0,Robert Siodmak,1,George Armstrong Custer,Military,True,White,False,Male,Robert Shaw,51
Dahmer,http://www.imdb.com/title/tt0285728/,US,2002,0,David Jacobson,1,Jeffrey Dahmer,Criminal,True,White,False,Male,Jeremy Renner,16
Dallas Buyers Club,http://www.imdb.com/title/tt0790636/,US,2013,27.3,Jean-Marc VallÌÄå©e,1,Ron Woodroof,Activist,False,,False,Male,Matthew McConaughey,5
Dance with a Stranger,http://www.imdb.com/title/tt0088987/,UK,1985,0.138,Mike Newell,1,Ruth Ellis,Criminal,False,,False,Female,Miranda Richardson,33
Dangerous Beauty,http://www.imdb.com/title/tt0118892/,US,1998,4.53,Marshall Herskovitz,1,Veronica Franco,Other,True,White,False,Female,Catherine McCormack,20
Dangerous Minds,http://www.imdb.com/title/tt0112792/,US,1995,84.9,John N. Smith,1,Louanne Johnson,Teacher,True,White,False,Female,Michelle Pfeiffer,23
De-Lovely,http://www.imdb.com/title/tt0352277/,US/UK,2004,13.3,Irwin Winkler,1,Cole Porter,Musician,True,White,False,Male,Kevin Kline,14
Death in Granada,http://www.imdb.com/title/tt0117106/,US,1996,0.226,Marcos Zurinaga,1,Garcia Lorca,Author,True,Hispanic (White),False,Male,Andy Garcia,22
Desert Dancer,http://www.imdb.com/title/tt2403393/,UK,2014,0.144,Richard Raymond,1,Afshin Ghaffarian,Artist,True,Middle Eastern,True,Male,Reece Ritchie,4
Desert Flower,http://www.imdb.com/title/tt1054580/,UK,2009,0.0443,Sherry Hormann,1,Waris Dirie,Activist,True,African,True,Female,Soraya Omar-Scego (young) and Liya Kebede (older),9
DÌ©sirÌ©e,http://www.imdb.com/title/tt0046903/,US,1954,0,Henry Koster,2,DÌ©sirÌ©e Clary,Historical,True,White,False,Female,Jean Simmons,64
DÌ©sirÌ©e,http://www.imdb.com/title/tt0046903/,US,1954,0,Henry Koster,2,Napoleon Bonaparte,Historical,True,White,False,Male,Marlon Brando,64
