title,site,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress,years_since_released
Strauss' Great Waltz,http://www.imdb.com/title/tt0024747/,UK,1934,0,Alfred Hitchcock,2,Johann Strauss II,Musician,True,White,False,Male,Esmond Knight,84
Sunrise at Campobello,http://www.imdb.com/title/tt0054354/,US,1960,0,Vincent J. Donehue,1,Franklin Roosevelt,World leader,True,White,False,Male,Ralph Bellamy,58
Surviving Picasso,http://www.imdb.com/title/tt0117791/,US,1996,1.99,James Ivory,1,Francoise Gilot,Artist,True,White,False,Female,Natascha McElhone,22
Sweet Dreams,http://www.imdb.com/title/tt0090110/,US,1985,0,Karel Reisz,1,Patsy Cline,Singer,True,White,False,Female,Jessica Lange,33
Swimming Upstream,http://www.imdb.com/title/tt0326664/,US,2003,0.047200000000000006,Russell Mulcahy,1,Tony Fingleton,Athlete,False,,False,Male,Geoffrey Rush,15
Swoon,http://www.imdb.com/title/tt0105508/,US,1992,0.34,Tom Kalin,2,Nathan Leopold Jr.,Criminal,True,White,False,Male,Craig Chester,26
Swoon,http://www.imdb.com/title/tt0105508/,US,1992,0.34,Tom Kalin,2,Richard Loeb,Criminal,True,White,False,Male,Daniel Schlachet,26
Sylvia,http://www.imdb.com/title/tt0325055/,UK,2003,1.3,Christine Jeffs,2,Sylvia Plath,Author (poet),True,White,False,Female,Gwyneth Paltrow,15
Sylvia,http://www.imdb.com/title/tt0325055/,UK,2003,1.3,Christine Jeffs,2,Ted Hughes,Author (poet),True,White,False,Male,Daniel Craig,15
Talk to Me,http://www.imdb.com/title/tt0796368/,US,2007,4.47,Kasi Lemmons,1,"Ralph ""Petey"" Greene",Activist,True,African American,True,Male,Don Cheadle,11
Ted Bundy,http://www.imdb.com/title/tt0284929/,US,2002,0,Matthew Bright,1,Ted Bundy,Criminal,True,White,False,Male,Michael Reilly Burke,16
Telstar: The Joe Meek Story,http://www.imdb.com/title/tt1068669/,UK,2008,0,Nick Moran,1,Joe Meek,Musician,True,White,False,Male,Con O'Neill,10
Testament of Youth,http://www.imdb.com/title/tt1441953/,UK,2014,0.671,James Kent,1,Vera Brittain,Other,False,,False,Female,Alicia Vikander,4
The 5th Quarter,http://www.imdb.com/title/tt1130964/,US,2010,0.4,Rick Bieber,1,Jon Abbate,Athlete,False,,False,Male,Ryan Merriman,8
The Actress,http://www.imdb.com/title/tt0045471/,US,1953,0,George Cukor,1,Ruth Gordon Jones,Actress,False,,False,Female,Jean Simmons,65
The Adventures of Marco Polo,http://www.imdb.com/title/tt0029842/,US,1938,0,Archie Mayo,1,Marco Polo,Historical,True,White,False,Male,Gary Cooper,80
The Adventures of Mark Twain,http://www.imdb.com/title/tt0036582/,US,1944,0,Irving Rapper,1,Samuel Clemens,Author,True,White,False,Male,Frederic March,74
The Assassination of Jesse James by the Coward Robert Ford,http://www.imdb.com/title/tt0443680/,US/UK/Canada,2007,3.9,Andrew Dominik,2,Jesse James,Criminal,True,White,False,Male,Brad Pitt,11
The Assassination of Jesse James by the Coward Robert Ford,http://www.imdb.com/title/tt0443680/,US/UK/Canada,2007,3.9,Andrew Dominik,2,Robert Ford,Criminal,False,,False,Male,Casey Affleck,11
The Assassination of Richard Nixon,http://www.imdb.com/title/tt0364961/,US,2004,0.698,Niels Mueller,1,Samuel Byck,Other,False,,False,Male,Sean Penn,14
The Assassination of Trotsky,http://www.imdb.com/title/tt0068226/,UK,1972,0,Joseph Losey,1,Leon Trotsky,Activist,True,White,False,Male,Richard Burton,46
The Aviator,http://www.imdb.com/title/tt0338751/,US,2004,103.0,Martin Scorsese,1,Howard Hughes,Other,False,,False,Male,Leonardo DiCaprio,14
The Babe,http://www.imdb.com/title/tt0103747/,US,1992,17.5,Arthur Hiller,1,Babe Ruth,Athlete,True,White,False,Male,John Goodman,26
The Babe Ruth Story,http://www.imdb.com/title/tt0040142/,US,1948,0,Roy Del Ruth,1,Babe Ruth,Athlete,True,White,False,Male,William Bendix,70
The Bang Bang Club,http://www.imdb.com/title/tt1173687/,Canada,2010,0,Steven Silver,4,Greg Marinovich,Media,False,,False,Male,,8
The Bang Bang Club,http://www.imdb.com/title/tt1173687/,Canada,2010,0,Steven Silver,4,JoÌ£o Silva,Media,True,White,False,Male,,8
The Bang Bang Club,http://www.imdb.com/title/tt1173687/,Canada,2010,0,Steven Silver,4,Ken Oosterbroek,Media,False,,False,Male,,8
The Bang Bang Club,http://www.imdb.com/title/tt1173687/,Canada,2010,0,Steven Silver,4,Kevin Carter,Media,True,White,False,Male,Taylor Kitsch,8
The Barretts of Wimpole Street,http://www.imdb.com/title/tt0024865/,US,1934,0,Sidney Franklin,2,Elizabeth Barrett,Author (poet),True,Multi racial,False,Female,Norma Shearer,84
The Barretts of Wimpole Street,http://www.imdb.com/title/tt0024865/,US,1934,0,Sidney Franklin,2,Robert Browning,Author (poet),True,Multi racial,False,Male,Fredric March,84
The Basketball Diaries,http://www.imdb.com/title/tt0112461/,US,1995,2.42,Scott Kalvert,1,Jim Carroll,Author,True,White,False,Male,Leonardo DiCaprio,23
The Benny Goodman Story,http://www.imdb.com/title/tt0047873/,US,1956,0,Valentine Davies,1,Benny Goodman,Musician,True,White,False,Male,Steve Allen,62
The Best Intentions,http://www.imdb.com/title/tt0104350/,UK,1992,1.3,Bille August,2,Erik Bergman,Other,False,,False,Male,"With: Samuel FrÌÄå¦ler, Pernilla August, Max von Sydow",26
The Best Intentions,http://www.imdb.com/title/tt0104350/,UK,1992,1.3,Bille August,2,Karin ÌÉkerblom,Other,False,,False,Female,,26
The Better Angels,http://www.imdb.com/title/tt2316868/,US,2014,0,A.J. Edwards,1,Abraham Lincoln,World leader,True,White,False,Male,Jason Clarke,4
The Blind Side,http://www.imdb.com/title/tt0878804/,US,2009,256.0,John Lee Hancock,1,Michael Oher,Athlete,True,African American,True,Male,Quinton Aaron,9
The Boy in Blue,http://www.imdb.com/title/tt0090769/,Canada,1986,0.275,Charles Jarrott,1,Ned Hanlan,Athlete,True,White,False,Male,Nicolas Cage,32
The Brittany Murphy Story,http://www.imdb.com/title/tt3957278/,US,2014,0,Joe Menendez,1,Brittany Murphy,Actress,True,White,False,Female,Amanda Fuller,4
The Broken Tower,http://www.imdb.com/title/tt1756791/,US,2011,0,James Franco,1,Harold Hart Crane,Author (poet),False,,False,Male,James Franco,7
The Buddy Holly Story,http://www.imdb.com/title/tt0077280/,US,1978,0,Steve Rash,1,Buddy Holly,Singer,True,Multi racial,False,Male,Gary Busey,40
The Chameleon,http://www.imdb.com/title/tt1359553/,US,2010,0,Jean-Paul SalomÌ©,1,FrÌ©dÌ©ric Fortin,Criminal,True,Multi racial,True,Male,Marc-AndrÌ© Grondin,8
The Color of Freedom,http://www.imdb.com/title/tt0438859/,UK,2007,0,Bille August,1,James Gregory,Other,True,White,False,Male,Joseph Fiennes,11
The Color of Time,http://www.imdb.com/title/tt2133333/,US,2012,0,"Edna Luise Biesold, Sarah-Violet Bliss",1,CK Williams,Author,False,,False,Male,James Franco,6
The Conqueror,http://www.imdb.com/title/tt0049092/,US,1956,4.5,Dick Powell,1,Temujin (Genghis Khan),Military,True,Asian,True,Male,John Wayne,62
The Countess,http://www.imdb.com/title/tt0496634/,US,2009,0,Julie Delpy,1,ErzsÌ©bet BÌÁthory,Historical,True,White,False,Female,Julie Delpy,9
The Court-Martial of Billy Mitchell,http://www.imdb.com/title/tt0047956/,US,1955,0,Otto Preminger,1,Billy Mitchell,Military,True,White,False,Male,Gary Cooper,63
The Cross and the Switchblade,http://www.imdb.com/title/tt0068428/,US,1970,0,Don Murray,1,David Wilkerson,Other,False,,False,Male,Pat Boone,48
The Damned United,http://www.imdb.com/title/tt1226271/,UK,2009,0.45,Tom Hooper,1,Brian Clough,Athlete,False,,False,Male,Michael Sheen,9
The Desert Fox: The Story of Rommel,http://www.imdb.com/title/tt0043461/,US,1951,0,Henry Hathaway,1,Erwin Rommel,Military,True,White,False,Male,James Mason,67
The Diary of Anne Frank,http://www.imdb.com/title/tt0052738/,US,1959,0,George Stevens,1,Anne Frank,Other,True,White,False,Female,Millie Perkins,59
The Diving Bell and the Butterfly,http://www.imdb.com/title/tt0401383/,US,2007,5.99,Julian Schnabel,1,Jean-Dominique Bauby,Media,True,White,False,Male,Mathieu Amalric,11
The Doors,http://www.imdb.com/title/tt0101761/,US,1991,35.2,Oliver Stone,1,Jim Morrison,Singer,True,White,False,Male,Vil Kilmer,27
The Duchess,http://www.imdb.com/title/tt0864761/,US/UK,2008,13.8,Saul Dibb,1,Georgiana Cavendish,Other,True,White,False,Female,Keira Knightley,10
The Eddy Duchin Story,http://www.imdb.com/title/tt0049170/,US,1956,0,George Sidney,1,Eddy Duchin,Musician,False,,False,Male,Tyrone Power,62
The Edge of Love,http://www.imdb.com/title/tt0819714/,UK,2008,0.0286,John Maybury,1,Dylan Thomas,Author (poet),True,White,False,Male,Matthew Rhys,10
The Elephant Man,http://www.imdb.com/title/tt0080678/,US,1980,0,David Lynch,1,Joseph Merrick,Other,True,White,False,Male,John Hurt,38
The Entity,http://www.imdb.com/title/tt0082334/,US,1982,0,Sidney J. Furie,1,Doris Bither,Other,False,,False,Female,Barbara Hershey,36
The Express,http://www.imdb.com/title/tt0469903/,US,2008,9.59,Gary Fleder,1,Ernie Davis,Athlete,True,African American,True,Male,Rob Brown,10
The Falcon and the Snowman,http://www.imdb.com/title/tt0087231/,US/UK,1985,17.1,John Schlesinger,1,Christopher Boyce,Criminal,False,,False,Male,Timothy Hutton,33
The Fifth Estate,http://www.imdb.com/title/tt1837703/,US,2013,3.25,Bill Condon,1,Julian Assange,Other,True,White,False,Male,Benedict Cumberbatch,5
The Fighter,http://www.imdb.com/title/tt0964517/,US,2010,93.6,David O. Russell,1,Micky Ward,Athlete,True,White,False,Male,Mark Wahlberg,8
The First Grader,http://www.imdb.com/title/tt0790663/,US,2010,0.331,Justin Chadwick,1,Kimani NgÛªangÛªa Maruge,Other,True,African,True,Male,Oliver Litondo,8
The Five Pennies,http://www.imdb.com/title/tt0052809/,US,1959,0,Melville Shavelson,1,"Loring ""Red"" Nichols",Musician,False,,False,Male,Danny Kaye,59
The Frozen Ground,http://www.imdb.com/title/tt2005374/,US,2013,0,Scott Walker,2,Jack Halcombe,Other,False,,False,Male,Nicolas Cage,5
The Frozen Ground,http://www.imdb.com/title/tt2005374/,US,2013,0,Scott Walker,2,Robert Hansen,Criminal,True,White,False,Male,John Cusack,5
The Gallant Hours,http://www.imdb.com/title/tt0053849/,US,1960,0,Robert Montgomery,1,"William F. ""Bull"" Halsey, Jr.",Military,True,White,False,Male,James Cagney,58
The Gaul,http://www.imdb.com/title/tt0199481/,Canada,2001,0,Jacques Dorfmann,1,Vercingetorix,Historical,True,White,False,Male,Christopher Lambert,17
The General,http://www.imdb.com/title/tt0120706/,UK,1998,1.21,John Boorman,1,Martin Cahill,Criminal,True,White,False,Male,Brendan Gleeson,20
The Girl in the Red Velvet Swing,http://www.imdb.com/title/tt0048119/,US,1955,0,Richard Fleischer,1,Evelyn Nesbit (Thaw),Actress,True,White,False,Female,Joan Collins,63
The Glenn Miller Story,http://www.imdb.com/title/tt0047030/,US,1954,0,Anthony Mann,1,Glenn Miller,Musician,True,White,False,Male,James Stewart,64
The Great Caruso,http://www.imdb.com/title/tt0043599/,US,1951,0,Richard Thorpe,1,Enrico Caruso,Musician,True,White,False,Male,Mario Lanza,67
The Great Debaters,http://www.imdb.com/title/tt0427309/,US,2007,30.2,Denzel Washington,1,Melvin Tolson,Academic,True,African American,True,Male,Denzel Washington,11
The Great Moment,http://www.imdb.com/title/tt0036880/,US,1944,0,Preston Sturges,1,W.T. Morton,Medicine,False,,False,Male,Joel McCrea,74
The Great Waltz,http://www.imdb.com/title/tt0030202/,US,1938,0,Julien Duvivier,1,Johann Strauss II,Musician,True,White,False,Male,Fernand Gravey,80
The Great Ziegfeld,http://www.imdb.com/title/tt0027698/,US,1936,0,Robert Z. Leonard,1,Florenz Ziegfeld,Musician,True,White,False,Male,William Powell,82
The Greatest,http://www.imdb.com/title/tt0076111/,US/UK,1977,0,Tom Gries,1,Muhammad Ali,Athlete,True,African American,True,Male,Muhammad Ali,41
The Greatest Story Ever Told,http://www.imdb.com/title/tt0059245/,US,1965,8.0,George Stevens,1,Jesus,Historical,True,Middle Eastern (White),False,Male,Max von Sydow,53
The Grey Fox,http://www.imdb.com/title/tt0085622/,Canada,1982,0,Phillip Borsos,1,Bill Miner,Other,False,,False,Male,Richard Farnsworth,36
The Hammer,http://www.imdb.com/title/tt1094666/,US,2010,0,Oren Kaplan,1,Matt Hamill,Athlete,False,,False,Male,Russell Harvard,8
The Happy Hooker,http://www.imdb.com/title/tt0073091/,US,1975,0,Nicholas Sgarro,1,Xaviera Hollander,Other,True,White,False,Female,Lynn Redgrave,43
The House of Rothschild,http://www.imdb.com/title/tt0025272/,US,1934,0,Alfred L. Werker,1,Mayer Rothschild,Other,True,White,False,Male,George Arliss,84
The Hunter,http://www.imdb.com/title/tt0080907/,US,1980,0,Buzz Kulik,1,"Ralph ""Papa"" Thorson",Other,False,,False,Male,Steve McQueen,38
The Hurricane,http://www.imdb.com/title/tt0174856/,US,1999,50.7,Norman Jewison,1,"Rubin ""Hurricane"" Carter",Athlete,True,African American,True,Male,Denzel Washington,19
The Iceman,http://www.imdb.com/title/tt1491044/,US,2012,1.94,Ariel Vromen,1,Richard Kuklinski,Criminal,True,White,False,Male,Michael Shannon,6
The Idolmaker,http://www.imdb.com/title/tt0080913/,US,1980,0,Taylor Hackford,1,Bob Marcucci,Other,False,,False,Male,Ray Sharkey,38
The Imitation Game,http://www.imdb.com/title/tt2084970/,US/UK,2014,91.1,Morten Tyldum,1,Alan Turing,Academic,True,White,False,Male,Benedict Cumberbatch,4
The Inn of the Sixth Happiness,http://www.imdb.com/title/tt0051776/,US,1958,0,Mark Robson,1,Gladys Aylward,Other,True,White,False,Female,Ingrid Bergman,60
The Insider,http://www.imdb.com/title/tt0140352/,US,1999,29.0,Michael Mann,1,Jeffrey Wigand,Activist,False,,False,Male,Russell Crowe,19
The Invisible Woman,http://www.imdb.com/title/tt1700845/,UK,2013,1.23,Ralph Fiennes,1,Charles Dickens,Author,True,White,False,Male,Ralph Fiennes,5
The Iron Lady,http://www.imdb.com/title/tt1007029/,UK,2011,30.0,Phyllida Lloyd,1,Margaret Thatcher,World leader,True,White,False,Female,Meryl Streep,7
The Jackie Robinson Story,http://www.imdb.com/title/tt0042609/,US,1950,0,Alfred E. Green,1,Jackie Robinson,Athlete,True,African American,True,Male,Jackie Robinson,68
The Jesus Film,http://www.imdb.com/title/tt0079368/,US,1979,0,"John Krish, Peter Sykes",1,Jesus,Historical,True,Middle Eastern (White),False,Male,Brian Deacon,39
The Jolson Story,http://www.imdb.com/title/tt0038661/,US,1946,0,Alfred E. Green,1,Al Jolson,Musician,True,White,False,Male,Larry Parks,72
The King and I,http://www.imdb.com/title/tt0049408/,US,1956,0,Walter Lang,1,Anna Leonowens,Other,True,Multi racial,False,Female,Deborah Kerr,62
The King of Kings,http://www.imdb.com/title/tt0018054/,US,1927,0,Cecil B. DeMille,1,Jesus,Historical,True,Middle Eastern (White),False,Male,H.B. Warner,91
The King's Speech,http://www.imdb.com/title/tt1504320/,US/UK,2010,139.0,Tom Hooper,1,King George VI,Historical,True,White,False,Male,Colin Firth,8
The Krays,http://www.imdb.com/title/tt0099951/,UK,1990,2.06,Peter Medak,2,Reginald Kray,Criminal,True,Multi racial,False,Male,,28
The Krays,http://www.imdb.com/title/tt0099951/,UK,1990,2.06,Peter Medak,2,Ronald Kray,Criminal,True,Multi racial,False,Male,"With: Gary Kemp, Martin Kemp, Billie Whitelaw",28
The Lady,http://www.imdb.com/title/tt1802197/,UK,2011,0,Luc Besson,1,Aung San Suu Kyi,Activist,True,Asian,True,Female,Michelle Yeoh,7
The Last Emperor,http://www.imdb.com/title/tt0093389/,UK,1987,0.109,Bernardo Bertolucci,1,Henry Pu Yi,World leader,True,Asian,True,Male,John Lone,31
The Last King of Scotland,http://www.imdb.com/title/tt0455590/,UK,2006,17.6,Kevin Macdonald,1,Idi Amin,Other,True,African,True,Male,Forest Whitaker,12
The Last of Robin Hood,http://www.imdb.com/title/tt2450440/,US,2013,0.27,"Richard Glatzer, Wash Westmoreland",1,Errol Flynn,Actor,True,White,False,Male,Kevin Kline,5
The Last Ride,http://www.imdb.com/title/tt1605803/,US,2012,0,Harry Thomason,1,Hank Williams,Musician,False,,False,Male,Henry Thomas,6
The Last Station,http://www.imdb.com/title/tt0824758/,UK,2009,6.62,Michael Hoffman,1,Leo Tolstoy,Author,True,White,False,Male,Christopher Plummer,9
The Last Time I Committed Suicide,http://www.imdb.com/title/tt0119502/,US,1997,0.0128,Stephen Kay,1,Neal Cassady,Author,False,,False,Male,Thomas Jane,21
The Lawless Breed,http://www.imdb.com/title/tt0045992/,US,1953,0,Raoul Walsh,1,John Wesley Hardin,Criminal,False,,False,Male,Rock Hudson,65
The Left Handed Gun,http://www.imdb.com/title/tt0051849/,US,1958,0,Arthur Penn,1,Henry McCarty (Billy the Kid),Criminal,True,White,False,Male,Paul Newman,60
The Life and Death of Peter Sellers,http://www.imdb.com/title/tt0352520/,US,2004,0,Stephen Hopkins,1,Peter Sellers,Actor,True,White,False,Male,Geoffrey Rush,14
The Life of Emile Zola,http://www.imdb.com/title/tt0029146/,US,1937,0,William Dieterle,1,Emile Zola,Author,True,White,False,Male,Paul Muni,81
The Long Day Closes,http://www.imdb.com/title/tt0104753/,UK,1992,0.0228,Terence Davies,1,Terence Davies,Other,True,White,False,Male,Leigh McCormack,26
The Long Gray Line,http://www.imdb.com/title/tt0048312/,US,1955,0,John Ford,1,Marty Maher,Military,True,White,False,Male,Tyrone Power,63
The Longshots,http://www.imdb.com/title/tt1091751/,US,2008,11.5,Fred Durst,1,Jasmine Plummer,Athlete,True,African American,True,Female,Keke Palmer,10
The Look of Love,http://www.imdb.com/title/tt1951216/,US/UK,2013,0.0104,Michael Winterbottom,1,Paul Raymond,Other,False,,False,Male,Steve Coogan,5
The Lover,http://www.imdb.com/title/tt0101316/,UK,1992,4.9,Jean-Jacques Annaud,1,Marguerite Duras,Other,True,White,False,Female,Jane March,26
The Madness of King George,http://www.imdb.com/title/tt0110428/,UK,1994,15.2,Nicholas Hytner,1,George III of UK,Historical,True,White,False,Male,Nigel Hawthorne,24
The Magic Box,http://www.imdb.com/title/tt0043769/,UK,1951,0,John Boulting,1,William Friese-Greene,Other,False,,False,Male,Robert Donat,67
The Man Who Saw Tomorrow,http://www.imdb.com/title/tt0081109/,US,1981,0,Robert Guenette,1,Michel de Nostredame,Academic,True,White,False,Male,Richard Butler,37
The Message,http://www.imdb.com/title/tt0074896/,UK,1977,0,Moustapha Akkad,1,Muhammad,Historical,True,Middle Eastern,True,Male,Anthony Quinn,41
The Miracle Maker,http://www.imdb.com/title/tt0208298/,UK,2000,0,"Derek W. Hayes, Stanislav Sokolov",1,Jesus,Historical,True,Middle Eastern (White),False,Male,Ralph Fiennes,18
The Miracle Worker,http://www.imdb.com/title/tt0056241/,US,1962,0,Arthur Penn,2,Helen Keller,Other,True,White,False,Female,Patty Duke,56
The Miracle Worker,http://www.imdb.com/title/tt0056241/,US,1962,0,Arthur Penn,2,Annie Sullivan,Other,True,White,False,Female,Anne Bancroft,56
The Motorcycle Diaries,http://www.imdb.com/title/tt0318462/,US/UK,2004,16.8,Walter Salles,1,Che Guevara,Activist,True,Hispanic (Latin American),False,Male,Gael GarcÌ_a Bernal,14
The Music Lovers,http://www.imdb.com/title/tt0066109/,UK,1970,0,Ken Russell,1,Peter Ilych Tchaikovsky,Musician,True,White,False,Male,Richard Chamberlain,48
The New World,http://www.imdb.com/title/tt0402399/,US/UK,2005,12.7,Terrence Malick,1,Pocahontas,Historical,True,Native American,True,Female,Q'orianka Kilcher,13
The Night We Called It a Day,http://www.imdb.com/title/tt0320159/,US,2003,0,Paul Goldman,1,Frank Sinatra,Singer,True,White,False,Male,Dennis Hopper,15
The Notorious Bettie Page,http://www.imdb.com/title/tt0404802/,US,2005,1.41,Mary Harron,1,Bettie Page,Other,True,Multi racial,False,Female,Gretchen Mol,13
The Other Boleyn Girl,http://www.imdb.com/title/tt0467200/,US/UK,2008,26.8,Justin Chadwick,2,Anne Boleyn,Historical,True,White,False,Female,Natalie Portman,10
The Other Boleyn Girl,http://www.imdb.com/title/tt0467200/,US/UK,2008,26.8,Justin Chadwick,2,Mary Boleyn,Historical,True,White,False,Female,Scarlett Johansson,10
The Other Side of Heaven,http://www.imdb.com/title/tt0250371/,US,2001,4.72,Mitch Davis,1,John Groberg,Other,False,,False,Male,Christopher Gorham,17
The Other Side of the Mountain,http://www.imdb.com/title/tt0073496/,US,1975,0,Larry Peerce,1,Jill Kinmont,Athlete,False,,False,Female,Marilyn Hassett,43
The People vs. Larry Flynt,http://www.imdb.com/title/tt0117318/,US,1996,20.2,Milos Forman,1,Larry Flynt,Activist,True,White,False,Male,Woody Harrelson,22
The Perils of Pauline,http://www.imdb.com/title/tt0039698/,US,1947,0,George Marshall,1,Pearl White,Actress,False,,False,Female,Betty Hutton,71
The Pianist,http://www.imdb.com/title/tt0253474/,UK,2002,32.5,Roman Polanski,1,Wâadysâaw Szpilman,Musician,True,White,False,Male,Adrien Brody,16
The Pistol: The Birth of a Legend,http://www.imdb.com/title/tt0102674/,US,1991,0,Frank C. SchrÌ¦der,1,Pete Maravich,Athlete,True,White,False,Male,Adam Guier,27
The Plainsman,http://www.imdb.com/title/tt0028108/,US,1936,0,Cecil B. DeMille,1,Wild Bill Hickok,Historical,True,White,False,Male,"With: Gary Cooper, Jean Arthur, James Ellison",82
The Pride of the Yankees,http://www.imdb.com/title/tt0035211/,US,1942,0,Sam Wood,1,Lou Gehrig,Athlete,True,White,False,Male,Gary Cooper,76
The Prince of Egypt,http://www.imdb.com/title/tt0120794/,US,1998,101.0,"Brenda Chapman, Steve Hickner",2,Moses,Historical,True,Middle Eastern (White),False,Male,Val Kilmer,20
The Prince of Egypt,http://www.imdb.com/title/tt0120794/,US,1998,101.0,"Brenda Chapman, Steve Hickner",2,Ramses,Historical,True,Middle Eastern (White),False,Male,Ralph Fiennes,20
The Prisoner of Shark Island,http://www.imdb.com/title/tt0028141/,US,1936,0,John Ford,1,Samuel Mudd,Medicine,True,White,False,Male,Warner Baxter,82
The Private Life of Henry VIII.,http://www.imdb.com/title/tt0024473/,UK,1933,0,Alexander Korda,1,Henry VIII,Historical,True,White,False,Male,Charles Laughton,85
The Private Lives of Elizabeth and Essex,http://www.imdb.com/title/tt0031826/,US,1939,0,Michael Curtiz,2,Elizabeth I of England,Historical,True,White,False,Female,Bette Davis,79
The Private Lives of Elizabeth and Essex,http://www.imdb.com/title/tt0031826/,US,1939,0,Michael Curtiz,2,"Robert Devereux, 2nd Earl of Essex",Historical,True,White,False,Male,Errol Flynn,79
"The Prize Winner of Defiance, Ohio",http://www.imdb.com/title/tt0406158/,US,2005,0.626,Jane Anderson,1,Evelyn Ryan,Other,False,,False,Female,Julianne Moore,13
The Pursuit of Happyness,http://www.imdb.com/title/tt0454921/,US,2006,163.0,Gabriele Muccino,1,Christopher Gardner,Other,True,African American,True,Male,Will Smith,12
The Queen,http://www.imdb.com/title/tt0436697/,US/UK,2006,56.4,Stephen Frears,1,Queen Elizabeth II,Historical,True,White,False,Female,Helen Mirren,12
The Railway Man,http://www.imdb.com/title/tt2058107/,UK,2013,4.44,Jonathan Teplitzky,1,Eric Lomax,Military,False,,False,Male,Colin Firth,5
The Red Baron,http://www.imdb.com/title/tt0365675/,UK,2008,0.0366,Nikolai MÌÄå_llerschÌÄå¦n,1,Baron Manfred von Richthofen,Military,True,White,False,Male,Matthias SchweighÌ¦fer,10
The Rocket: The Legend of Rocket Richard,http://www.imdb.com/title/tt0460505/,Canada,2005,0,Charles BinamÌÄå©,1,"Maurice ""The Rocket"" Richard",Athlete,True,White,False,Male,Roy Dupuis,13
The Runaways,http://www.imdb.com/title/tt1017451/,US,2010,3.57,Floria Sigismondi,2,Joan Jett,Musician,True,White,False,Female,Kristen Stewart,8
The Runaways,http://www.imdb.com/title/tt1017451/,US,2010,3.57,Floria Sigismondi,2,Cherie Currie,Musician,False,,False,Female,Dakota Fanning,8
The Sessions,http://www.imdb.com/title/tt1866249/,US,2012,6.0,Ben Lewin,1,Mark O'Brien,Medicine,False,,False,Male,John Hawkes,6
The Seven Little Foys,http://www.imdb.com/title/tt0048604/,US,1955,0,Melville Shavelson,1,"Eddie Foy, Sr.",Actor,True,White,False,Male,Bob Hope,63
The Singing Nun,http://www.imdb.com/title/tt0060983/,US,1966,0,Henry Koster,1,Jeanne Deckers,Musician,True,White,False,Female,Debbie Reynolds,52
The Social Network,http://www.imdb.com/title/tt1285016/,US,2010,96.9,David Fincher,1,Mark Zuckerberg,Other,False,,False,Male,Jesse Eisenberg,8
The Soloist,http://www.imdb.com/title/tt0821642/,US/UK,2009,31.7,Joe Wright,2,Nathaniel Ayers,Musician,True,African American,True,Male,Jamie Foxx,9
The Soloist,http://www.imdb.com/title/tt0821642/,US/UK,2009,31.7,Joe Wright,2,Steve Lopez,Media,False,,False,Male,"Robert Downey, Jr.",9
The Song of Bernadette,http://www.imdb.com/title/tt0036377/,US,1943,0,Henry King,1,Saint Bernadette Soubirous,Other,True,White,False,Female,Jennifer Jones,75
The Soul Keeper,http://www.imdb.com/title/tt0349995/,UK,2002,0,Roberto Faenza,2,Carl Gustav Jung,Academic,True,White,False,Male,Iain Glen,16
The Soul Keeper,http://www.imdb.com/title/tt0349995/,UK,2002,0,Roberto Faenza,2,Sabina Spielrein,Academic,True,White,False,Female,Emilia Fox,16
The Sound of Music,http://www.imdb.com/title/tt0059742/,US,1965,163.0,Robert Wise,1,Maria von Trapp,Singer,True,White,False,Female,Julie Andrews,53
The Spirit of St. Louis,http://www.imdb.com/title/tt0051003/,US,1957,0,Billy Wilder,1,Charles 'Slim' Lindbergh,Other,True,White,False,Male,James Stewart,61
The Story of Alexander Graham Bell,http://www.imdb.com/title/tt0031981/,US,1939,0,Irving Cummings,1,Alexander Graham Bell,Academic,True,White,False,Male,Don Ameche,79
The Story of Louis Pasteur,http://www.imdb.com/title/tt0028313/,US,1936,0,William Dieterle,1,Louis Pasteur,Academic,True,White,False,Male,Paul Muni,82
The Story of Vernon and Irene Castle,http://www.imdb.com/title/tt0031983/,US,1939,1.12,H.C. Potter,2,Irene Castle,Artist,False,,False,Female,Ginger Rogers,79
The Story of Vernon and Irene Castle,http://www.imdb.com/title/tt0031983/,US,1939,1.12,H.C. Potter,2,Vernon Castle,Artist,False,,False,Male,Fred Astaire,79
The Straight Story,http://www.imdb.com/title/tt0166896/,US/UK,1999,6.2,David Lynch,1,Alvin Straight,Other,False,,False,Male,Richard Farnsworth,19
The Stratton Story,http://www.imdb.com/title/tt0041928/,US,1949,0,Sam Wood,1,Monty Stratton,Athlete,False,,False,Male,James Stewart,69
The Ten Commandments,http://www.imdb.com/title/tt0049833/,US,1956,80.0,Cecil B. DeMille,1,Moses,Historical,True,Middle Eastern (White),False,Male,Charlton Heston,62
The Theory of Everything,http://www.imdb.com/title/tt2980516/,UK,2014,35.9,James Marsh,1,Steven Hawking,Academic,True,White,False,Male,Eddie Redmayne,4
The Toast of New York,http://www.imdb.com/title/tt0029675/,US,1937,0,Rowland V. Lee,1,James Fisk,Criminal,True,White,False,Male,Edward Arnold,81
The Trials of Oscar Wilde,http://www.imdb.com/title/tt0054403/,UK,1960,0,Ken Hughes,1,Oscar Wilde,Author,True,White,False,Male,Peter Finch,58
